biotite_ID	original_sampleID	watershed_km2	temp_c	pH	cond	DO_mgL	Alk	canopy_avg	NPOC_mgL	TDN_ugL	NH4_ugL	NO3_ugL	TDP_ugL	flow_cont	depth_cont
PH2015_02U	PH2015_01	527	19.6	8.68	214	9.63	111	0.02	0.7275658	44.541306	1.435	30.278	9.067	40	17.5
PH2015_03D	PH2015_02	39	18.6	8.63	202.2	9.35	111	0.56	0.7275658	44.541306	1.435	30.278	8.237	40	12.5
PH2015_12U	PH2015_03	160	22.4	8.91	273.8	9.75	105	0.12	1.0219309	44.82144	1.173	11.531	6.66	25	7.5
PH2015_01U	PH2015_04	17	17.6	8.53	136	8.5	80	0.61	0.6078261	28.153467	0.921	14.052	27.805	15	12.5
PH2015_09S	PH2015_05	531	22.1	8.84	345.9	9.38	107	0.01	0.8907817	39.779028	0.761	13.737	5.677	40	17.5
PH2015_10S	PH2015_06	951	26	9.08	345	9.44	93	0	1.0660076	58.407939	1.995	26.718	5.377	25	12.5
PH2015_08U	PH2015_07	1417	25	8.46	249.9	8.53	NA	0.05	0.9442262	72.83484	2.04	52.9	10.742	40	17.5
PH2015_07U	PH2015_08	881	23.8	8.75	243.6	10.02	108	0.01	0.9952687	71.43417	2.452	27.474	6.953	75	12.5
PH2015_14S	PH2015_09	7908	24.1	8.84	249	12.4	106	0	1.201	83.619999	0.533	7.868	5.434	40	12.5
PH2015_13U	PH2015_10	228	20.8	8.01	260.4	8.1	118	0.3	0.8794923	72.554706	2.063	72.624	9.37	25	7.5
PH2015_02D	PH2015_11	527	19.6	8.68	214	9.63	111	0.02	0.7275658	44.541306	1.435	30.278	9.067	40	17.5
PH2015_04U	PH2015_12	39	17.2	8.66	196	9.71	NA	0.21	0.4722332	26.472663	1.001	43.637	8.237	15	7.5
PH2015_04D	PH2015_13	39	17.2	8.66	196	9.71	NA	0	0.4722332	26.472663	1.001	43.637	8.237	15	7.5
PH2015_03U	PH2015_14	39	18.6	8.63	202.2	9.35	111	0.51	0.7275658	44.541306	1.435	30.278	8.237	40	22.5
PH2015_12D	PH2015_15	160	22.4	8.91	273.8	9.75	105	0.01	1.0219309	44.82144	1.173	11.531	6.66	40	12.5
PH2015_11S	PH2015_16	96	24.8	8.92	253.3	10.03	104	0.47	0.7256442	35.436951	0.967	20.322	10.912	40	7.5
PH2015_01D	PH2015_17	17	17.6	8.53	136	8.5	80	0.61	0.6078261	28.153467	0.921	14.052	27.805	7.5	7.5
PH2015_08D	PH2015_18	1417	25	8.46	249.9	8.53	NA	0.02	0.9442262	72.83484	2.04	52.9	10.742	40	17.5
PH2015_06S	PH2015_19	795	24.3	8.56	249.3	10.1	115	0.4	0.9454272	72.134505	1.504	98.939	8.878	75	40
PH2015_07D	PH2015_20	881	23.8	8.75	243.6	10.02	108	0.23	0.9952687	71.43417	2.452	27.474	6.953	75	17.5
PH2015_05S	PH2015_21	653	23.4	8.51	244.5	9.35	120	0.02	0.9509518	50.564187	1.629	17.983	5.558	40	7.5
PH2015_13D	PH2015_22	228	20.8	8.01	260.4	8.1	118	0	0.8794923	72.554706	2.063	72.624	9.37	25	12.5